host,serial,model,dataset_name,keep_rate,keep_rate_single,reduction_loc,ifa_head,clc,num_clr,ifa_dws_conv_groups,lasso_loss_weight,seed,lr,epochs,input_size,batch_size,num_images_train,num_images_val,test_acc,val_test_loss,train_acc1,train_loss,time_total,max_memory,flops,no_params,throughput
DGX-CN02,10,evit_vit_base_patch16_224_miil.in21k,soylocal,[0.25],0.25,"[3, 6, 9]",TRUE,FALSE,0,2,0,100,0.0001,45,224,32,600,600,38.8333345,2.677734375,100,0.307659467,1.06,3.2188,6.5323,86.8582,
DGX-CN02,10,evit_deit3_base_patch16_224.fb_in22k_ft_in1k,soylocal,[0.5],0.5,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,44.33333481,2.601862981,100,0.053381443,1.14,3.875,9.3216,86.9042,
DGX-CN02,10,evit_deit_base_patch16_224.fb_in1k,soylocal,[0.5],0.5,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,47.83333496,2.462364784,100,0.087357706,1.11,3.7539,9.3197,86.8873,
DGX-CN02,10,evit_vit_base_patch16_224.dino,soylocal,[0.5],0.5,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,48.8333345,2.475360577,100,0.01405509,1.11,3.7988,9.3197,86.8873,
DGX-CN02,10,evit_vit_base_patch16_224.in1k_mocov3,soylocal,[0.5],0.5,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,42.1666684,2.642052284,100,0.081473192,1.11,3.7988,9.3197,86.8873,
DGX-CN01,10,evit_vit_base_patch16_224.mae,aircraft,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,6667,3333,63.6363657,1.685103934,99.96995192,0.002386106,18.29,3.3281,6.532,85.8756,
DGX-CN02,10,evit_vit_base_patch16_224.mae,soylocal,[0.5],0.5,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,43.83333466,2.61313101,96.00694444,1.22764545,1.12,3.7539,9.3197,86.8873,
DGX-CN01,10,evit_vit_base_patch16_224.mae,cub,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,5994,5794,39.42009089,2.880944118,100,0.001700915,6.28,3.6465,8.822,85.9525,
DGX-CN02,10,evit_vit_base_patch16_224.orig_in21k,soylocal,[0.5],0.5,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,45.33333496,2.584585337,100,0.129068163,1.13,3.7988,9.3197,86.8873,
DGX-CN02,10,evit_vit_base_patch16_224_miil.in21k,soylocal,[0.5],0.5,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,47.16666748,2.30063101,100,0.234218862,1.09,3.6562,9.3197,86.8597,
DGX-CN02,10,evit_vit_base_patch16_clip_224.laion2b,soylocal,[0.5],0.5,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,54.66666809,2.158428486,100,0.07443326,1.1,3.7734,9.3198,86.8881,
DGX-CN02,10,evit_deit3_base_patch16_224.fb_in1k,soylocal,[0.7],0.7,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,51.00000122,2.435621995,100,0.036230458,1.14,4.5195,12.1808,86.9042,
DGX-CN01,10,evit_vit_base_patch16_224.orig_in21k,cub,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,5994,5794,84.89817283,0.75919067,100,0.001657281,6.29,3.6465,8.822,85.9525,
DGX-CN02,10,evit_deit3_base_patch16_224.fb_in22k_ft_in1k,soylocal,[0.7],0.7,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,44.33333511,2.596679688,100,0.04557089,1.15,4.5195,12.1808,86.9042,
DGX-CN02,10,evit_deit_base_patch16_224.fb_in1k,soylocal,[0.7],0.7,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,49.00000122,2.431490385,100,0.064457019,1.12,4.3535,12.1783,86.8873,
DGX-CN02,10,evit_vit_base_patch16_224.dino,soylocal,[0.7],0.7,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,49.50000122,2.475886418,100,0.013534003,1.12,4.3535,12.1783,86.8873,
DGX-CN01,10,evit_vit_base_patch16_224.in1k_mocov3,cub,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,5994,5794,78.71936715,0.99779996,99.98328877,0.002579755,6.33,3.6465,8.822,85.9525,
DGX-CN02,10,evit_vit_base_patch16_224.in1k_mocov3,soylocal,[0.7],0.7,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,44.16666809,2.553410457,100,0.073096858,1.12,4.3535,12.1783,86.8873,
DGX-CN02,10,evit_deit3_base_patch16_224.fb_in1k,soylocal,[0.5],0.5,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,49.66666809,2.433894231,100,0.04384621,1.14,3.875,9.3216,86.9042,
DGX-CN02,10,evit_vit_base_patch16_224_miil.in21k,soylocal,[0.25],0.25,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,43.3333342,2.509014423,100,0.225532108,1.09,3.2637,6.9627,86.8597,
DGX-CN02,10,evit_vit_base_patch16_224.mae,soylocal,[0.7],0.7,"[3, 6, 9]",TRUE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,54.1666684,2.23429988,100,0.17319621,1.09,4.3496,11.6133,86.8858,
DGX-CN02,10,evit_vit_base_patch16_224.orig_in21k,soylocal,[0.7],0.7,"[3, 6, 9]",TRUE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,45.8333345,2.518780048,100,0.117174308,1.09,4.3828,11.6133,86.8858,
DGX-CN02,10,evit_vit_base_patch16_224_miil.in21k,soylocal,[0.7],0.7,"[3, 6, 9]",TRUE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,41.83333527,2.541616587,100,0.235834387,1.09,4.1387,11.6133,86.8582,
DGX-CN02,10,evit_vit_base_patch16_clip_224.laion2b,soylocal,[0.7],0.7,"[3, 6, 9]",TRUE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,52.33333527,2.297626202,100,0.107785304,1.09,4.373,11.6135,86.8866,
DGX-CN02,10,evit_deit_base_patch16_224.fb_in1k,soygene,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,12763,11143,43.59687817,2.804938975,100,0.000805846,36.43,3.3906,6.5328,86.6522,
DGX-CN02,10,evit_deit3_base_patch16_224.fb_in1k,soylocal,[0.25],0.25,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,51.33333466,2.336538462,100,0.060758511,1.13,3.4707,6.9642,86.9042,
DGX-CN01,10,evit_deit_base_patch16_224.fb_in1k,cub,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,5994,5794,83.12047177,0.789782477,100,0.000448621,6.28,3.6465,8.822,85.9525,
DGX-CN01,10,evit_vit_base_patch16_224.in1k_mocov3,aircraft,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,6667,3333,81.54815642,0.835058049,99.98497596,0.00401482,18.35,3.3594,6.532,85.8756,
DGX-CN02,10,evit_deit3_base_patch16_224.fb_in22k_ft_in1k,soylocal,[0.25],0.25,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,45.33333511,2.486253005,100,0.064560917,1.12,3.418,6.9642,86.9042,
DGX-CN02,10,evit_deit_base_patch16_224.fb_in1k,soylocal,[0.25],0.25,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,46.33333511,2.429011418,100,0.16873357,1.1,3.3066,6.9627,86.8873,
DGX-CN02,10,evit_vit_base_patch16_224.dino,soylocal,[0.25],0.25,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,46.16666809,2.536132813,100,0.01526372,1.1,3.3672,6.9627,86.8873,
DGX-CN02,10,evit_vit_base_patch16_224.in1k_mocov3,soylocal,[0.25],0.25,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,44.00000122,2.623272236,100,0.13295428,1.11,3.4023,6.9627,86.8873,
DGX-CN01,10,evit_vit_base_patch16_224.dino,cub,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,5994,5794,76.2685561,1.137126828,100,0.000120022,6.32,3.6465,8.822,85.9525,
DGX-CN02,10,evit_vit_base_patch16_224.mae,soylocal,[0.25],0.25,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,52.1666684,2.259465144,99.30555556,0.778704643,1.09,3.3066,6.9627,86.8873,
DGX-CN02,10,evit_vit_base_patch16_224.orig_in21k,soylocal,[0.25],0.25,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,41.66666809,2.584810697,100,0.195944203,1.1,3.3066,6.9627,86.8873,
DGX-CN02,10,evit_vit_base_patch16_clip_224.laion2b,soylocal,[0.25],0.25,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,55.66666809,2.146259014,100,0.093332609,1.1,3.3379,6.9628,86.8881,
DGX-CN02,10,evit_vit_base_patch16_224.mae,soylocal,[0.7],0.7,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,53.33333466,2.169245793,100,0.309046745,1.11,4.332,12.1783,86.8873,
DGX-CN01,10,evit_vit_base_patch16_224_miil.in21k,cub,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,5994,5794,85.4332094,0.686474635,100,0.000395903,6.25,3.5078,8.822,85.9248,
DGX-CN02,10,evit_vit_base_patch16_224.orig_in21k,soylocal,[0.7],0.7,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,47.66666824,2.495117188,100,0.122575813,1.12,4.332,12.1783,86.8873,
DGX-CN02,10,evit_vit_base_patch16_224.orig_in21k,soylocal,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,224,32,600,600,31.50000137,3.877103365,98.26388889,2.314800686,1.11,3.3574,6.5321,85.9525,
DGX-CN01,10,evit_vit_base_patch16_224.orig_in21k,cub,[0.7],0.7,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,5994,5794,85.74387565,0.706135695,100,0.001405582,6.46,4.373,11.6132,85.9525,
DGX-CN02,10,evit_vit_base_patch16_224_miil.in21k,soylocal,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,224,32,600,600,26.00000069,3.246544471,100,0.06185366,1.09,3.1973,6.5321,85.9248,
DGX-CN02,10,evit_vit_base_patch16_clip_224.laion2b,soylocal,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,224,32,600,600,11.50000038,4.24203726,66.49305556,1.375966496,1.1,3.2832,6.5323,85.9532,
DGX-CN02,10,evit_deit3_base_patch16_224.fb_in1k,soylocal,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,224,32,600,600,31.00000092,3.11313101,100,0.00514435,1.12,3.7656,8.8238,85.9701,
DGX-CN02,10,evit_deit3_base_patch16_224.fb_in22k_ft_in1k,soylocal,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,224,32,600,600,24.50000084,4.135667067,100,0.003147671,1.12,3.7441,8.8238,85.9701,
DGX-CN02,10,evit_deit_base_patch16_224.fb_in1k,soylocal,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,224,32,600,600,36.50000137,2.880408654,100,0.03074548,1.11,3.6484,8.822,85.9525,
DGX-CN01,10,evit_deit3_base_patch16_224.fb_in1k,aircraft,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,6667,3333,83.88839093,0.748846763,100,0.000221741,18.52,3.752,8.8238,85.8932,
DGX-CN01,10,evit_vit_base_patch16_224_miil.in21k,cub,[0.7],0.7,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,5994,5794,85.95098632,0.648808676,100,0.000361238,6.38,4.1289,11.6132,85.9248,
DGX-CN02,10,evit_vit_base_patch16_224.dino,soylocal,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,224,32,600,600,28.50000076,3.323317308,100,0.001819966,1.09,3.6484,8.822,85.9525,
DGX-CN02,10,evit_vit_base_patch16_224.in1k_mocov3,soylocal,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,224,32,600,600,34.00000076,4.557692308,100,3.457689073,1.07,3.6484,8.822,85.9525,
DGX-CN02,10,evit_vit_base_patch16_224.mae,soylocal,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,224,32,600,600,23.66666733,3.318960337,99.65277778,0.477665265,1.08,3.6484,8.822,85.9525,
DGX-CN02,10,evit_vit_base_patch16_224.orig_in21k,soylocal,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,224,32,600,600,38.66666763,3.669471154,100,1.615632799,1.07,3.6484,8.822,85.9525,
DGX-CN02,10,evit_vit_base_patch16_224_miil.in21k,soylocal,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,224,32,600,600,30.66666794,2.951772837,100,0.04043697,1.08,3.5098,8.822,85.9248,
DGX-CN01,10,evit_vit_base_patch16_clip_224.laion2b,cub,[0.7],0.7,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,5994,5794,76.52744454,1.07745664,99.89973262,0.003624645,6.38,4.3652,11.6134,85.9532,
DGX-CN02,10,evit_vit_base_patch16_224.mae,soylocal,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,224,32,600,600,21.16666725,3.334435096,86.45833333,1.350427522,1.1,3.3574,6.5321,85.9525,
DGX-CN02,10,evit_vit_base_patch16_224.in1k_mocov3,soylocal,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,224,32,600,600,31.33333458,4.60546875,100,3.680789524,1.09,3.3574,6.5321,85.9525,
DGX-CN02,10,evit_vit_base_patch16_224.dino,soylocal,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,224,32,600,600,30.00000122,3.47280649,100,0.002764694,1.08,3.3203,6.5321,85.9525,
DGX-CN01,10,evit_vit_base_patch16_224.mae,cub,[0.7],0.7,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,5994,5794,78.80566366,0.953383517,99.98328877,0.001629804,6.45,4.373,11.6132,85.9525,
DGX-CN02,10,evit_vit_base_patch16_224_miil.in21k,soylocal,[0.7],0.7,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,47.16666809,2.312124399,100,0.224205282,1.09,4.2441,12.1783,86.8597,
DGX-CN02,10,evit_vit_base_patch16_224.dino,soygene,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,12763,11143,33.38418858,3.649912822,100,0.000334969,36.32,3.3906,6.5328,86.6522,
DGX-CN02,10,evit_vit_base_patch16_clip_224.laion2b,soylocal,[0.7],0.7,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,224,32,600,600,53.6666687,2.175555889,100,0.057852864,1.12,4.3652,12.1784,86.8881,
DGX-CN01,10,evit_vit_base_patch16_224.orig_in21k,aircraft,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,6667,3333,80.07800953,0.90886928,99.98497596,0.002285093,18.33,3.3594,6.532,85.8756,
DGX-CN01,10,evit_vit_base_patch16_clip_224.laion2b,cub,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,5994,5794,77.11425857,1.06948222,99.96657754,0.001801398,6.32,3.6309,8.8221,85.9532,
DGX-CN01,10,evit_deit3_base_patch16_224.fb_in1k,cub,[0.7],0.7,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,5994,5794,83.12047226,0.809399628,99.98328877,0.000433045,6.54,4.5039,11.6157,85.9701,
DGX-CN01,10,evit_deit3_base_patch16_224.fb_in22k_ft_in1k,cub,[0.7],0.7,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,5994,5794,84.82913591,0.832531753,100,6.95E-05,6.54,4.4824,11.6157,85.9701,
DGX-CN01,10,evit_deit3_base_patch16_224.fb_in22k_ft_in1k,cub,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,5994,5794,84.41491449,0.87357592,99.98328877,0.000683032,6.47,3.7637,8.8238,85.9701,
DGX-CN01,10,evit_vit_base_patch16_224_miil.in21k,aircraft,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,6667,3333,76.41764429,1.048983329,100,0.000773124,18.27,3.2207,6.532,85.8479,
DGX-CN01,10,evit_vit_base_patch16_224.dino,cub,[0.7],0.7,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,5994,5794,77.85640536,1.045700452,100,0.000125933,6.36,4.373,11.6132,85.9525,
DGX-CN02,10,evit_vit_base_patch16_224.in1k_mocov3,soygene,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,12763,11143,30.4226878,3.561787487,100,0.007020243,37.11,3.3906,6.5328,86.6522,
DGX-CN01,10,evit_vit_base_patch16_224.in1k_mocov3,cub,[0.7],0.7,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,5994,5794,80.47980911,0.93107419,100,0.00195341,6.45,4.373,11.6132,85.9525,
DGX-CN01,10,evit_vit_base_patch16_clip_224.laion2b,aircraft,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,6667,3333,72.00720292,1.303027344,99.75961538,0.009772442,18.56,3.3477,6.5322,85.8763,
DGX-CN02,10,evit_deit3_base_patch16_224.fb_in1k,soylocal,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,224,32,600,600,20.83333405,3.888972356,100,0.01281696,1.1,3.4355,6.5335,85.9701,
DGX-CN02,10,evit_deit3_base_patch16_224.fb_in22k_ft_in1k,soylocal,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,224,32,600,600,25.83333389,4.252253606,99.82638889,0.009548952,1.1,3.4355,6.5335,85.9701,
DGX-CN02,10,evit_deit_base_patch16_224.fb_in1k,soylocal,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,224,32,600,600,32.66666748,2.907902644,99.82638889,0.072221518,1.08,3.3574,6.5321,85.9525,
DGX-CN01,10,evit_deit_base_patch16_224.fb_in1k,cub,[0.7],0.7,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,5994,5794,83.39661999,0.753576862,100,0.000419854,6.36,4.373,11.6132,85.9525,
DGX-CN02,10,evit_vit_base_patch16_224.in1k_mocov3,soylocal,[0.7],0.7,"[3, 6, 9]",TRUE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,43.66666809,2.661358173,100,0.070214113,1.1,4.3828,11.6133,86.8858,
DGX-CN02,10,evit_vit_base_patch16_224.dino,soylocal,[0.7],0.7,"[3, 6, 9]",TRUE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,47.3333345,2.547100361,100,0.014767653,1.09,4.3828,11.6133,86.8858,
DGX-CN02,10,evit_deit_base_patch16_224.fb_in1k,soylocal,[0.7],0.7,"[3, 6, 9]",TRUE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,49.16666779,2.457782452,100,0.066446198,1.09,4.3828,11.6133,86.8858,
DGX-CN02,10,evit_vit_base_patch16_224.orig_in21k,soylocal,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,15.66666702,4.466346154,39.75694444,4.25600179,1.04,3.3574,6.5321,85.9525,
DGX-CN01,10,evit_deit3_base_patch16_224.fb_in22k_ft_in1k,cub,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,5994,5794,81.42906716,1.038155043,100,0.000575056,6.41,3.4375,6.5335,85.9701,
DGX-CN02,10,evit_vit_base_patch16_224_miil.in21k,soylocal,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,27.00000061,3.172626202,97.74305556,0.633663177,1.03,3.2188,6.5321,85.9248,
DGX-CN02,10,evit_vit_base_patch16_clip_224.laion2b,soylocal,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,10.83333374,3.962740385,46.875,2.009813044,1.04,3.2832,6.5323,85.9532,
DGX-CN02,10,evit_deit3_base_patch16_224.fb_in1k,soylocal,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,29.50000092,3.387620192,100,0.005040766,1.07,3.7656,8.8238,85.9701,
DGX-CN02,10,evit_deit3_base_patch16_224.fb_in22k_ft_in1k,soylocal,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,26.33333405,4.141376202,100,0.004298211,1.06,3.7441,8.8238,85.9701,
DGX-CN02,10,evit_deit_base_patch16_224.fb_in1k,soylocal,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,34.66666794,2.91811899,100,0.030086782,1.06,3.6484,8.822,85.9525,
DGX-CN01,10,evit_deit_base_patch16_224.fb_in1k,cub,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,5994,5794,77.07973958,1.03989732,100,0.001346345,6.26,3.248,6.5321,85.9525,
DGX-CN02,10,evit_vit_base_patch16_224.dino,soylocal,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,29.00000084,3.262169471,100,0.001545678,1.06,3.6484,8.822,85.9525,
DGX-CN02,10,evit_vit_base_patch16_224.in1k_mocov3,soylocal,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,35.66666763,4.541466346,100,3.449527317,1.06,3.6484,8.822,85.9525,
DGX-CN02,10,evit_vit_base_patch16_224.mae,soylocal,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,8.166666908,4.254206731,18.75,3.231298659,1.05,3.6484,8.822,85.9525,
DGX-CN02,10,evit_vit_base_patch16_224.orig_in21k,soylocal,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,34.00000092,3.745492788,99.82638889,1.861828274,1.07,3.6484,8.822,85.9525,
DGX-CN01,10,evit_deit3_base_patch16_224.fb_in22k_ft_in1k,aircraft,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,6667,3333,82.05820837,0.98062221,99.98497596,0.001208713,18.39,3.4453,6.5334,85.8932,
DGX-CN02,10,evit_vit_base_patch16_224_miil.in21k,soylocal,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,28.66666748,3.071514423,100,0.083472596,1.05,3.4922,8.822,85.9248,
DGX-CN01,10,evit_vit_base_patch16_224.dino,cub,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,5994,5794,73.43804141,1.268714085,100,0.00023351,6.27,3.3652,6.5321,85.9525,
DGX-CN02,10,evit_vit_base_patch16_224.mae,soylocal,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,21.83333412,3.397536058,78.81944444,1.581665887,1.04,3.3574,6.5321,85.9525,
DGX-CN02,10,evit_vit_base_patch16_224.in1k_mocov3,soylocal,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,29.66666748,4.598858173,99.82638889,3.735449897,1.02,3.3574,6.5321,85.9525,
DGX-CN02,10,evit_vit_base_patch16_224.dino,soylocal,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,29.8333345,3.359074519,100,0.001891029,1.03,3.3203,6.5321,85.9525,
DGX-CN02,10,evit_deit_base_patch16_224.fb_in1k,soylocal,[0.25],0.25,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,31.33333435,2.948617788,99.82638889,0.079610546,0.98,3.3574,6.5321,85.9525,
DGX-CN02,10,evit_vit_base_patch16_224.dino,cub,[0.7],0.7,"[3, 6, 9]",TRUE,TRUE,1,2,0,1,0.0001,45,224,32,5994,5794,79.56506965,0.914351156,100,0.00036393,7.29,4.3867,12.1783,86.8873,
DGX-CN02,10,evit_vit_base_patch16_224.in1k_mocov3,cub,[0.7],0.7,"[3, 6, 9]",TRUE,TRUE,1,2,0,1,0.0001,45,224,32,5994,5794,82.72350974,0.71445484,100,0.000672565,7.3,4.3789,12.1783,86.8873,
DGX-CN01,10,evit_vit_base_patch16_clip_224.laion2b,soygene,[0.7],0.7,"[3, 6, 9]",TRUE,TRUE,1,2,0,1,0.0001,45,224,32,12763,11143,48.30835631,2.312845779,99.93718593,0.005519595,35.07,4.4062,12.1798,88.2868,
DGX-CN01,10,evit_vit_base_patch16_224.mae,soygene,[0.7],0.7,"[3, 6, 9]",TRUE,TRUE,1,2,0,1,0.0001,45,224,32,12763,11143,64.21969166,1.508388798,100,0.001480442,35.24,4.3867,12.1797,88.286,
DGX-CN01,10,evit_deit_base_patch16_224.fb_in1k,soygene,[0.7],0.7,"[3, 6, 9]",TRUE,TRUE,1,2,0,1,0.0001,45,224,32,12763,11143,64.80301746,1.522471416,100,0.000194579,35.74,4.3867,12.1797,88.286,
DGX-CN01,10,evit_deit3_base_patch16_224.fb_in1k,soygene,[0.7],0.7,"[3, 6, 9]",TRUE,TRUE,1,2,0,1,0.0001,45,224,32,12763,11143,67.45939366,1.364782767,100,0.000178962,35.86,4.5391,12.1822,88.3029,
DGX-CN01,10,evit_deit3_base_patch16_224.fb_in22k_ft_in1k,soygene,[0.7],0.7,"[3, 6, 9]",TRUE,TRUE,1,2,0,1,0.0001,45,224,32,12763,11143,55.51467436,2.013175211,100,0.000255942,36.01,4.5391,12.1822,88.3029,
DGX-CN02,10,evit_vit_base_patch16_clip_224.laion2b,soylocal,[0.5],0.5,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,224,32,600,600,13.33333382,4.181189904,90.625,0.633100669,1.07,3.6465,8.8221,85.9532,
DGX-CN01,10,evit_vit_base_patch16_224.orig_in21k,soygene,[0.7],0.7,"[3, 6, 9]",TRUE,TRUE,1,2,0,1,0.0001,45,224,32,12763,11143,54.57237867,2.016218063,99.92933417,0.004958254,35.75,4.3867,12.1797,88.286,
